id,Hospital Value,Description,MiHIN Value,MiHIN Description
00add36afb1a8fc56a72a87fa50f7a0e,4,"",1002-5,American Indian or Alaska Native
00add36afb1a8fc56a72a87fa50f7a0e,11,"",1002-5,American Indian or Alaska Native
00add36afb1a8fc56a72a87fa50f7a0e,12,"",1002-5,American Indian or Alaska Native
00add36afb1a8fc56a72a87fa50f7a0e,5,"",2028-9,Asian
00add36afb1a8fc56a72a87fa50f7a0e,14,"",2028-9,Asian
00add36afb1a8fc56a72a87fa50f7a0e,31,"",2028-9,Asian
00add36afb1a8fc56a72a87fa50f7a0e,32,"",2028-9,Asian
00add36afb1a8fc56a72a87fa50f7a0e,2,"",2054-5,Black or African American
00add36afb1a8fc56a72a87fa50f7a0e,10,"",2054-5,Black or African American
00add36afb1a8fc56a72a87fa50f7a0e,54,"",2054-5,Black or African American
00add36afb1a8fc56a72a87fa50f7a0e,8,"",2076-8,Native Hawaiian or Other Pacific Islander
00add36afb1a8fc56a72a87fa50f7a0e,1,"",2106-3,White
00add36afb1a8fc56a72a87fa50f7a0e,3,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,6,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,9,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,13,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,15,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,16,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,17,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,18,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,19,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,20,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,21,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,22,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,23,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,24,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,25,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,26,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,27,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,28,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,29,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,30,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,33,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,34,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,35,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,36,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,37,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,38,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,39,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,41,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,42,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,43,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,44,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,45,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,46,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,47,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,48,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,49,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,50,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,51,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,52,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,53,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,55,"",2131-1,Other Race
00add36afb1a8fc56a72a87fa50f7a0e,7,"",PR,Patient Refused
00d591b620db2fb0bc2e377f24a48bc7,AMB,Ambulatory Office Visit,52,""
00d591b620db2fb0bc2e377f24a48bc7,BNV,Ambulatory Non Visit,52,""
00d591b620db2fb0bc2e377f24a48bc7,BNVA,Acute Non Visit,52,""
00d591b620db2fb0bc2e377f24a48bc7,CLI,Clinical,52,""
00d591b620db2fb0bc2e377f24a48bc7,ER,Emergency,52,""
00d591b620db2fb0bc2e377f24a48bc7,IN,Inpatient,52,""
00d591b620db2fb0bc2e377f24a48bc7,INFT,Infusion Therapy,52,""
00d591b620db2fb0bc2e377f24a48bc7,INO,Observation,52,""
00d591b620db2fb0bc2e377f24a48bc7,IRP,Interventional Radiology and/or Pain Management,52,""
00d591b620db2fb0bc2e377f24a48bc7,NB,Newborn,52,""
00d591b620db2fb0bc2e377f24a48bc7,OB,OB Induction,52,""
00d591b620db2fb0bc2e377f24a48bc7,ONC,Oncology,52,""
00d591b620db2fb0bc2e377f24a48bc7,POV,Outpatient,52,""
00d591b620db2fb0bc2e377f24a48bc7,RCR,Recurring,52,""
00d591b620db2fb0bc2e377f24a48bc7,REF,Referred,52,""
00d591b620db2fb0bc2e377f24a48bc7,RHB,Rehab,52,""
00d591b620db2fb0bc2e377f24a48bc7,SDC,Same Day Care,52,""
00d591b620db2fb0bc2e377f24a48bc7,SUR,Outpatient Surgery,52,""
027b85a9eb48986e887f3257338330c6,EL,"",C,Elective
027b85a9eb48986e887f3257338330c6,ER,"",E,Emergency
027b85a9eb48986e887f3257338330c6,NB,"",N,Newborn (Birth in healthcare facility)
027b85a9eb48986e887f3257338330c6,UR,"",U,Urgent
027b85a9eb48986e887f3257338330c6,T,"",TC,Trauma Center
027b85a9eb48986e887f3257338330c6,NA,"",O,Other
027b85a9eb48986e887f3257338330c6,None,"",O,Other
0280fd19cd5d76b0aade712e8f95ee49,2.16.840.1.113883.3.5416.1.4486,Fairlane Senior Care and Rehab Center,"",""
03210ef3d43968b97b9f5d321584a809,ANONYMOUS,Anonymous,1,Anonymous
03210ef3d43968b97b9f5d321584a809,SENSITIVE,Sensitive,2,Confidential
03210ef3d43968b97b9f5d321584a809,EMP,Metro Health Employee,3,Employee
03210ef3d43968b97b9f5d321584a809,METRO EMPLOY,Metro Employee Dependent,10,Employee Dependent
03210ef3d43968b97b9f5d321584a809,METRO VOLUNT,Metro Volunteer,12,Volunteer
03210ef3d43968b97b9f5d321584a809,PHYSICIAN,Physician,13,Staff Physician
03210ef3d43968b97b9f5d321584a809,METRO RETIRE,Metro Retiree,15,Retired Employee
03210ef3d43968b97b9f5d321584a809,METRO BOARD,Metro Board Member,49,Board Member
03210ef3d43968b97b9f5d321584a809,VETERANS FAC,Veterans Facility,"",""
03210ef3d43968b97b9f5d321584a809,COMMUNITY LE,Community Leader,"",""
03210ef3d43968b97b9f5d321584a809,Metro emp,METRO EMPLOYEE SPOUSE,"",""
03210ef3d43968b97b9f5d321584a809,HOSPICE PATI,Hospice Patient,"",""
03210ef3d43968b97b9f5d321584a809,WND,Wound Series,"",""
03210ef3d43968b97b9f5d321584a809,SPC,Specimen,"",""
03210ef3d43968b97b9f5d321584a809,SDA,SDA Inpatient,"",""
03210ef3d43968b97b9f5d321584a809,I/P,Inpatient,"",""
03210ef3d43968b97b9f5d321584a809,SSS,Short Stay Outpatient,"",""
03210ef3d43968b97b9f5d321584a809,OPO,Observation,"",""
03210ef3d43968b97b9f5d321584a809,SOS,Surgical Overnight Stay Outpatient,"",""
03210ef3d43968b97b9f5d321584a809,OPS,Outpatient Surgery,"",""
03210ef3d43968b97b9f5d321584a809,CB,Childbirth Education Series,"",""
