Health System,Hospital Name,OID,Notes 
Ascension,Genesys Regional Medical Center,2.16.840.1.113883.3.1696,
Ascension,Ascension Medical Group ProMed (a.k.a. Borgess Medical Center),2.16.840.1.113883.3.5416.1.5106,
Ascension,Borgess-Lee Memorial Hospital,2.16.840.1.113883.3.891.1,
Ascension, Borgess Pipp Hospital,2.16.840.1.113883.3.891.2,
Ascension,St. John Hospital and Medical Center,2.16.840.1.113883.17.3943,
Ascension,St. John Macomb Hospital,2.16.840.1.113883.17.3945,
Ascension,St. John Oakland Hospital ,2.16.840.1.113883.17.3948,
Ascension,St. John River District Hospital ,2.16.840.1.113883.17.3949,
Ascension,St. John Providence Hospital,2.16.840.1.113883.3.5416.1.207,
Ascension, St. John Providence Park Hospital,2.16.840.1.113883.17.3951,
Beaumont Health System,Beaumont Hospital Royal Oak,2.16.840.1.113883.3.1097.105,
Beaumont Health System,Beaumont Hospital Troy,2.16.840.1.113883.3.1097.205,
Beaumont Health System,Beaumont Hospital Grosse Pointe,2.16.840.1.113883.3.1097.405,
Beaumont Health System,Beaumont Hospital Farmington Hills(formerly Botsford Hospital),2.16.840.1.113883.3.1097.705,
Beaumont Health System,Beaumont Hospital Wayne,2.16.840.1.113883.3.5141,
Beaumont Health System,Beaumont Medical Center Dearborn,2.16.840.1.113883.3.5128,
Beaumont Health System,Beaumont Hospital Taylor,2.16.840.1.113883.3.5140,
Beaumont Health System,Beaumont Hospital Southshore,2.16.840.1.113883.3.5139,
Bronson Healthcare ,Bronson Methodist Hospital,2.16.840.1.113883.3.4771.1,
Bronson Healthcare ,Bronson Lakeview Hospital,2.16.840.1.113883.3.4771.2,
Bronson Healthcare ,Bronson Battle Creek Hospital,2.16.840.1.113883.3.137.4.70,
Bronson Healthcare ,Bronson South Haven Hospital,2.16.840.1.113883.3.5023.1,
Community Health Center of Branch County,Community Health Center of Branch County (CHCBC),2.16.840.1.113883.3.2403,
Covenant Health,Covenant Health Care (Covenant Medical Center),2.16.840.1.113883.3.5044,
Crittenton,Crittenton Hospital,2.16.840.1.113883.3.1364,
